"","x"
"210","確實是很美的裝飾"
"211","聽說海軍學校的學生偷用這把短劍削過鉛筆"
"212","故意讓這樣在嚴的象徵派上日常瑣碎生活的用場"
"213","真夠氣派啊"
"214","
    有時候,他將脫下的海軍學校制服,還有褲子、緊身白襯衣都掛在白漆柵欄上……這些衣服緊挨花叢"
"215","散發出一段年輕人的汗臭"
"216","蜜蜂誤將這些閃爍著白光的襯衣當做花兒"
"217","飛落在上面歇息"
"218","飾有金絲緞的制幅掛在一柵欄上"
"219","恍如端正地深戴在他的頭上一樣"
"220","他接受低班同學的挑戰"
"221","到體育場後面的摔跤場去比賽相撲了"
"222","
    脫下來的這些衣物"
"223","給人一種「榮譽墳墓」似的印象"
"224","5月的花團簇錦"
"225","更加強了這種感覺"
"226","特別是帽舌上反射著漆黑閃光的制帽"
"227","以及掛在它旁邊的皮帶和短劍"
"228","脫離了他的肉體"
"229","反而蕩出一種抒情的美"
"230","其本身如同回憶一般完整……就是說"
"231","看似是年輕英雄的遺物"
"232","
    我確認了附近無人"
"233","摔跤場那邊響起了一片喊聲"
"234","我從兜裡掏出生了銹的鉛筆刀"
"235","悄悄走了過去"
"236","在美麗的短劍黑劍鞘裡側"
"237","深深地劃了兩三道難看的刀痕……
    ……也許會有人根據上面的記述"
"238","立即斷定我是個有詩人氣質的少年"
"239","然而"
"240","別說詩了"
"241","就連筆記一類東西"
"242","迄今我也沒有寫過"
"243","我缺乏一種衝動"
"244","即一種用別的能力來彌補我不如他人的能力"
"245","以此達到超群出眾的衝動"
"246","換句話說"
"247","我要當藝術家"
"248","未免太傲慢了"
"249","我夢想當暴君或藝術家"
"250","然而僅僅停留在夢想"
"251","壓根兒就無意著手幹點什麼實事"
"252","
    不被人理解已經成為我惟一的自豪"
"253","所以"
"254","那種欲使外界理解我的表現的衝動也不能光顧於我"
"255","我覺得命運不賦予我任何能醒人耳目的東西"
"256","孤獨愈發膨脹"
"257","簡直就像一頭豬"
"258","
    突然間"
"259","我回憶起我們村莊所發生的悲劇性的事件"
"260","實際上這一事件與我毫不相干"
"261","可不知怎的"
"262","我總覺得與我有關"
"263","我參與了"
"264","這種實際的感覺是無法消失的"
"265","
    通過這一事件"
"266","我一舉直面所有的一切"
"267","直面人生、官能、叛逆、憎恨、愛情和一切"
"268","這樣"
"269","我的記憶樂於否定和無視其中所蘊含著的崇高的因素"
"270","
    與叔父家相隔兩間屋的一戶人家"
"271","有位標緻的姑娘"
"272","名叫有為子"
"273","有為子長著一雙晶亮的大眼睛"
"274","可能是家庭富裕的緣故"
"275","她專橫跋扈"
"276","她雖然受到全家的嬌寵"
"277","卻是非常孤獨"
"278","有時自己不知在想些什麼"
"279","妒忌心重的女人背地裡議論她大概還是個處女"
"280","可她的這種長相才真是個石女相吶"
"281","
    有為子剛從女子學校畢業就志願當了舞鶴海軍醫院的護土"
"282","她家離醫院不遠"
"283","可以騎自行車上班"
"284","每天她都在拂曉時分離家去上班"
"285","比我們上學的時間還早兩個多小時"
"286","
    夏天的一個晚上"
"287","我思念有為子的身體"
"288","耽人明郁的空想之中"
"289","難以成眠"
"290","便摸黑起床"
"291","穿上運動鞋"
"292","在黎明前的黑暗中走到了戶外"
"293","
    我思念有為子的身體"
"294","並非始自那天晚上"
"295","起初偶爾思念"
"296","後來漸漸固定下來"
"297","恰似思念的結晶體"
"298","有為子的身體以一種肉體的形狀－－白皙、富有彈力、沉浸於昏暗的陰影中、散發出芳香－－凝結起來了"
"299","我想像著接觸它時自己的手指的溫馨"
"300","還想像著手指上感應的彈力以及花粉般的芬芳"
"301","
    我在黎明前的黑暗的道路上一直跑去"
"302","石頭也沒有絆著我的腳"
"303","黑暗在我前方自在地開闢了道路"
"304","
    就在這裡"
"305","道路變得寬闊了"
"306","我來到了志樂村安岡的盡頭"
"307","這裡有一棵巨大的山毛櫸樹"
"308","樹幹被朝露濡濕了"
"309","我藏身在這棵樹下"
"310","等待著有為子從村那邊騎自行車過來"
"311","
    我等待著"
"312","什麼都不想幹"
"313","我氣喘吁吁地跑過來"
"314","在山毛櫸樹下休想"
"315","以後想幹什麼"
"316","自己也不知道"
"317","我一直過著與外界無緣的生活"
"318","一旦投身外界"
"319","就產生一種幻想"
"320","彷彿一切都變得容易"
"321","都成為可能了"
"322","
    庫蚊叮了我的腳"
"323","雞鳴四起"
"324","我迎亮著了看路上"
"325","遠處立著一個朦朧的白影"
"326","疑是拂曉的曙光"
"327","卻原來是有為子"
"328","
    有為子騎著自行車"
"329","前燈亮著"
"330","自行車無聲地滑行過來"
"331","我從山毛櫸後面跑到自行車前"
"332","自行車好不容易緊急剎住了"
"333","
    這時"
"334","我感到自己完全變成了化石"
"335","意志、慾望、所有的一切都石化了"
"336","外界與我的內心世界無關"
"337","它再次堅定地存在於我的周圍"
"338","我穿著白色運動鞋"
"339","從叔父家裡跑了出來"
"340","沿著黎明前的黑暗的道路一直跑到這棵山毛櫸後面"
"341","我只不過是沿著自己內心世界的軌跡一個勁地「幹嗎"
"342","你這個結巴還惡作劇"
"343","」有為子說"
"344","這聲音裡帶有晨風的端莊和清爽"
"345","她按過車鈴"
"346","又騎上了自行車奔跑過來而已"
"347","隱約浮現在黎明前的黑暗中的村莊無數屋頂的輪廓、黑xuxu的樹叢、長滿嫩葉的黑壓壓的山頂"
"348","連眼前的有為子"
"349","都變得毫無意義"
"350","甚至到了驚人的程度"
"351","現實不等我的參與"
"352","早就賦予了"
"353","而且"
"354","這種毫無意義的巨大的黑暗現實"
"355","以我迄今未曾見過的份量賦予了我"
"356","向我退將過來"
"357","
    我如往常一樣在思考"
"358","恐怕只有語言才能拯救這種情況吧"
"359","這是我特有的誤解"
"360","需要行動的時候"
"361","我總是惦記著語言"
"362","儘管如此"
"363","語言很難從我的嘴裡說出"
"364","我顧忌它"
"365","全然忘卻了行動"
"366","我覺得行動這個光怪陸離的玩意兒"
"367","似乎總是伴隨著光怪陸離的語言"
"368","
    我什麼也波有看"
"369","但我猜想"
"370","有為子起初很害怕"
"371","後來發現我之後"
"372","就只顧望著我的嘴"
"373","大概是在黎明前的黑暗中"
"374","她只望見一個微不足道的小黑洞－－野生小動物巢穴似的骯髒而不漂亮的小洞"
"375","在毫無意義地張動著"
"376","也就是說"
"377","她只望見我的嘴"
"378","在確認從這小洞裡不會產生任何一種可與外界聯繫的力量之後"
"379","她才放下心來"
"380","像躲開了石頭似的避開了我"
"381","迂迴地駛了過去"
"382","有為子遠去了"
"383","我不時聽見在間無人影的田野的遠方傳來了幾下像是嘲笑似的鈴聲"
"384","
    －－當天晚上"
"385","有為子告了我的狀"
"386","她的母親上我叔父家來了"
"387","我遭到了平日非常溫和的叔父的嚴厲叱責"
"388","我詛咒有為子"
"389","甚至希望她死去"
"390","數月後"
"391","這詛咒竟然應驗了"
"392","從此以後"
"393","我確信詛咒是會應驗的"
"394","
    我不論是睡覺還是醒來"
"395","都希望有為子死去"
"396","但願我的恥辱的見證人銷聲匿跡"
"397","只要沒有見證人"
"398","或許恥辱便會從人世間根絕"
"399","他人都是見證人啊"
"400","儘管如此"
"401","只要沒有他人"
"402","也就不會產生恥辱嘛"
"403","我彷彿看見有為子的面影"
"404","在黎明前的黑暗中像水一般晶亮"
"405","她直勾勾地盯著我的嘴"
"406","她的眼睛的後面存在他人的世界－－也就是說"
"407","彷彿看見絕不讓我們獨自存在而主動地成為我們的同謀和見證人的他人的世界"
"408","他人必須死滅"
"409","為了我能夠真正面向太陽"
"410","世界必須死滅……
    那次告狀兩個月以後"
"411","有為子辭去海軍醫院的工作"
"412","閉居家中"
"413","村裡人議論紛紛"
"414","是年秋末"
"415","就發生了那一事件"
"416","
    ……我們做夢也沒有想到海軍的逃兵竟然逃到這個村莊裡"
"417","晌午時分"
"418","憲兵到村公所來了"
"419","但是憲兵的到來並不稀奇"
"420","也就不覺得問題的嚴重性"
"421","
    那是10月底一個晴朗的日子"
"422","我像平時一樣到學校去"
"423","晚上做完作業"
"424","該是就寢的時刻"
"425","正想熄燈"
"426","我俯視了一下村道"
"427","只見一大群人像一群狗"
"428","傳來了奔跑的氣喘聲"
"429","我下了樓"
"430","一個同學已站在大門口"
"431","滾圓雙眼"
"432","衝著醒來的叔父、嬸母和我大聲喊道"
"433","
    「剛才有為子在那邊被憲兵抓走了"
"434","一起去看看吧"
"435","」
    我吸拉著木屣跑了出去"
"436","這是個月明之夜"
"437","收割後的稻田里到處都投下了稻架鮮明的影子"
"438","
    黑鴉鴉的人影聚在小樹叢的後面"
"439","正在移動著"
"440","身穿黑西服的有為子坐在地上"
"441","她的臉色刷白"
"442","她的周圍圍著四五個憲兵和她的雙親"
"443","其中一個憲兵拿出一個類似飯盒的小包"
"444","在大聲申斥"
"445","她父親不停地轉動著腦袋"
"446","時而向憲兵-一致歉"
"447","時而一個勁地斥責女兒"
"448","她母親蹲在一旁痛哭"
"449","
    我們相隔一塊田地"
"450","站在田埂上觀望"
"451","圍觀的人越來越多"
"452","彼此肩並著肩"
"453","相對無言"
"454","連我們頭上的月亮似乎也被擠壓得變小了"
"455","
    同學咬著我的耳朵做了說明"
"456","
    據說"
"457","有為子拿著飯盒從家裡溜出來"
"458","本想送到鄰村去"
"459","途中被埋伏的憲兵逮捕了"
"460","這盒飯無疑是送給那個逃兵的"
"461","那個逃兵和有為子是在海軍醫院裡相愛的"
"462","因此懷了孕的有為子被醫院攆了出來"
"463","憲兵追問逃兵躲藏在什麼地方"
"464","她依然紋絲不動地坐著"
"465","堅持一言不發……
    我呢"
"466","只顧直勾勾地盯視著有為子的臉"
"467","看上去她像個被抓住的瘋女"
"468","在月光下"
"469","她臉上的表情顯得非常堅定"
"470","
    迄今我不曾見過這樣一張充滿強烈的拒絕感的臉"
"471","我認為自己的臉是被世界拒絕的臉"
"472","可是有為子的臉卻是拒絕世界的臉"
"473","月光無情地流瀉在她的額頭、眼睛"
"474","鼻樑和臉頰上"
"475","可是這張堅定的臉只是被月光蕩滌著"
"476","她只要稍微動一動眼睛"
"477","稍微動一動嘴巴"
"478","她企圖拒絕的世界就會以此為信號"
"479","從這裡迅速崩潰的吧"
"480","
    我屏住氣息看她的臉看得出神"
"481","歷史在那裡中斷了"
"482","這張臉無論對未來還是對過去都搭不上一句話"
"483","我們在剛砍伐的樹墩上曾經見過這張不可思議的臉"
"484","儘管這張不可思議的臉帶著新鮮而嬌嫩的色澤"
"485","但是成長在那裡已經停止"
"486","那沐浴著不該沐浴的風和日光"
"487","突然被暴露在本不屬於自己的世界的橫斷面上"
"488","畫出了美麗的木紋"
"489","這張臉是只因為拒絕而被暴露到這個世界上來的……
    我不由得感到有為子的臉這瞬間的美"
"490","不論是在她的生涯裡"
"491","還是在觀望著它的我的生涯裡"
"492","恐怕都不會再有第二次了"
"493","然而它持續的時間並不像我想像的那麼長"
"494","因為這張美麗的臉突然變形了"
"495","
    有為子站起身來"
"496","這時我彷彿看見她笑了"
"497","我彷彿看見她那潔白的門齒在月光下的閃光"
"498","關於她的臉的變形"
"499","我不可能有更多的記述"
"500","因為有為子站起來時"
"501","她的臉避開了明晃晃的月光"
"502","掩藏在小樹林的陰影中"
"503","
    非常遺憾"
"504","我沒有看到有為子決心背叛時的那張變形的臉"
"505","如果我仔細端詳一番"
"506","也許我會萌生寬恕他人之心"
"507","包括寬恕所有醜惡之心"
"508","
    有為子指著鄰村鹿原的山背後"
"509","
    「是金剛院"
"510","」憲兵喊道"
"511","
    然後"
"512","我也產生了一股孩子趕廟會看熱鬧般的喜悅的心情"
"513","賓兵從四面八方把金剛院團團包圍起來"
"514","並要求村民們協助"
"515","我出於幸災樂禍"
"516","隨同其他五六個少年一起"
"517","加入了以有為子為嚮導的第一隊"
"518","有為子在憲兵的解押下"
"519","率先踏上了灑滿月光的路"
"520","我對於她那充滿信心的步伐"
"521","感到異常震驚"
"522","
    金剛院聞名遐邇"
"523","這座名剎坐落在從安岡徒步約15分鐘路程的山後"
"524","那裡有高丘親王親手種植的框樹"
"525","還有據傳是左甚五郎１建造的優雅的三重塔"
"526","夏天"
"527","我們總喜歡到後山的瀑布沐浴嬉耍——
    １左甚五郎"
"528","日本16世紀後半葉著名工匠"
"529","
    河畔有堵正殿的圍牆"
"530","破舊的瓦頂板心泥牆上芒草叢生"
"531","在夜色中"
"532","潔白的芒草花穩也是晶亮的"
"533","正殿的門旁"
"534","盛開著山茶花"
"535","一行人默默地沿著河走去"
"536","
    金剛院的佛殿建在更高處"
"537","過了獨木橋"
"538","右側是王重塔"
"539","左側是楓林"
"540","再往裡走"
"541","就可以看見巍然的一百零五級綴滿苦蹤的石階"
"542","這是石灰石台階"
"543","容易沿跤"
"544","
    走過獨木橋之前"
"545","憲兵回頭打了個手勢"
"546","讓一行人止步"
"547","據說從前這裡有座出自運慶、湛慶２所建的仁王門"
"548","從這裡再往裡走"
"549","九十九谷的群山都成了金剛院的領地——
    ２運慶"
"550","12世紀末著名的雕刻家"
"551","湛慶（1173-1256）"
"552","運慶之子"
"553","著名雕刻家"
"554","
    ……我們屏住了氣息"
"555","
    憲兵催促有為子"
"556","她獨自走過了獨木橋"
"557","我們尾隨其後"
"558","石階下方籠罩在陰影中"
"559","但中段以上灑滿了月光"
"560","我們分別藏身在石階下方的各個隱蔽處"
"561","在月光下"
"562","開始染紅的楓葉一片黑黝黝的"
"563","
    石階上方就是金剛院正殿"
"564","由此向左傾斜地架起了遊廊"
"565","直通像神樂殿似的空御堂"
"566","空御堂是模仿清水寺舞台"
"567","伸出空中"
"568","組合許多柱子和橫樑從山崖下把它支撐著"
"569","御堂、游席"
"570","還有支撐的木架經過風吹雨淋"
"571","特別潔淨清白"
"572","活像是白骨似的"
"573","楓葉盛時"
"574","紅葉的色彩與白骨雄似的建築"
"575","呈現出一派美麗的和諧"
"576","然而入夜"
"577","看上去一處處沐浴著斑駁月光的白色木架既怪異又優美"
"578","
    逃兵似是躲藏在舞台上方的御堂裡"
"579","憲兵企圖以有為子做引誘的手段"
"580","來誘捕他"
"581","
    我們這些證人隱蔽在暗處"
"582","屏住了氣息"
"583","儘管是在10月下旬的寒冷的夜氣籠罩下"
"584","可我的臉頰卻是熱辣辣的"
"585","
    有為子獨自攀登石灰石的一百零五級台階去了"
"586","猶如狂人滿懷豪情……在她的黑西服和黑頭髮之間"
"587","惟有她那美麗的側臉是潔白的"
"588","
    在月亮、星星、在雲、以茅杉的稜線連接天空的山峰、斑駁的月影"
"589","明顯浮現的建築物等等的襯托下"
"590","有為子背叛的澄明的美使我陶醉了"
"591","她獨自一人挺起胸膛"
"592","她有攀登這白石階的資格"
"593","她的背叛"
"594","就如同星星、月亮和茅杉"
"595","就是說"
"596","它同我們這些見證人一起居住在這個世界上"
"597","接受這種大自然"
"598","她就是作為我們的代表登上去的"
"599","
    我氣喘吁吁"
"600","不由得這樣想道"
"601","
    「由於背叛"
"602","她終於也能接受我了"
"603","此刻她正屬於我"
"604","」
    ……所謂事件"
"605","在某一地點將會從我們的記憶中消失"
"606","攀登一百零五級綴滿苔蘚的石階的有為子"
"607","還在眼前"
"608","我覺得她彷彿永遠在攀登這石階似的"
"609","
    後來她竟然變成了另一個人"
"610","大概是還到石階盡頭的有為子再次背叛了我"
"611","背叛了我們"
"612","方纔的她既不完全拒絕世界"
"613","也不完全接受世界"
"614","只是屈身於愛慾的秩序"
"615","為了一個男人而失身"
"616","
    因此"
"617","我只能把這事件當做舊石版印刷似的光景來回憶……有為子穿過遊廊"
"618","衝著御堂的黑暗在呼喚"
"619","男人的影子出現了"
"620","有為子同他談了些什麼"
"621","男人持手槍衝到台階半道上開始射擊"
"622","應戰的憲兵也從石階半道的樹叢中開槍還擊"
"623","男人再次做射擊準備"
"624","他衝著企圖向遊廊那邊逃跑的有為子的背後連發了幾槍"
"625","有為子應聲倒地"
"626","男人又把槍口對準自己的太陽穴開槍……
    －－以憲兵為首"
"627","人群爭先恐後地從石階跑上去"
"628","急忙跑到兩具屍體的旁邊"
"629","我對此置之不理"
"630","依然紋絲不動地隱藏在楓樹的蔽蔭處"
"631","白色的木架重重疊疊"
"632","縱橫交錯地聳立在我的上方"
"633","從上面傳來了輕微而雜亂無章的踩在遊廊地板上的皮鞋聲"
"634","兩三道交錯的手電筒的光束"
"635","超過柵欄直射在楓樹梢上"
"636","
    我只能認為所有這一切都是遙遠的事件"
"637","感覺遲鈍的人要不是流血"
"638","就不會感到狼狽不堪"
"639","然而"
"640","一旦流血時"
"641","悲劇也就結束了"
"642","不覺間"
"643","我竟迷迷糊糊入夢了"
"644","一覺醒來"
"645","我被大家遺忘了"
"646","四周充滿小鳥的煙脈"
"647","朝陽深深地直接射在楓樹下方的枝板上"
"648","像白骨堆似的建築物從地板下面承受著日光"
"649","仿怫復甦了"
"650","空御堂寂靜而自豪地伸向楓樹林覆蓋的峽谷"
"651","
    我站起身來"
"652","打了個寒顫"
"653","我在全身各處揉了操"
"654","只有寒冷殘留在身上"
"655","殘留的只是寒冷"
"656","
    翌年春假"
"657","父親在國民取外披了件袈裟造訪叔父家來了"
"658","他說"
"659","要帶我到京都去兩三天"
"660","那時候"
"661","父親的肺病已經相當嚴重"
"662","身體十分最弱"
"663","我驚訝不已"
"664","不僅是我"
"665","連叔父嬸母也都勸說父親取消京都之行"
"666","父親就是不聽從"
"667","事後回想起來"
"668","原來是父親想趁自己還活著的時候"
"669","把我介紹給金閣寺的住持"
"670","
    當然"
"671","拜訪金閣寺是我多年夢寐以求的"
"672","即使父親強作堅強"
"673","但是誰都可以看出他是個身患重病的人"
"674","我實在沒有什麼心思與他外出旅行"
"675","未曾一睹的金閣越來越接近的時候"
"676","我心中便有點躊躇了"
"677","不管怎麼說"
"678","金閣都應該是美的"
"679","因而"
"680","這一切與其說是金閣本身的美"
"681","莫如說是我傾盡身心所想像的金閣的美"
"682","
    就一般少年的頭腦所能理解來說"
"683","我也通曉金閣了"
"684","一般美術書是這樣記述金閣的歷史的"
"685","
    「足利義滿１承受了西園寺２家的北山殿"
"686","並在那裡建築了一幢規模宏大的別墅"
"687","主要建築物有舍利殿、護摩堂、仔法堂、法水院等佛教建築群"
"688","還有表殿、公卿間、會堂、天鏡閣、拱北樓、泉殿、現雪亭等住宅建築群"
"689","舍利殿的建築耗資巨大"
"690","這就是後來稱做『金閣』的建築物"
"691","究竟什麼時候開始叫做金閣"
"692","是很難劃分清楚的"
"693","一般地說"
"694","是應仁之亂３以後"
"695","文明年間已經普遍沿用這一名稱了——
    １足利義滿（1358-1408）"
"696","室町幕府第三代將軍"
"697","平定南北朝內亂"
"698","奠定幕府的全盛時期"
"699","建金閣寺"
"700","
    ２日本貴族家族之一"
"701","
    ３應仁之亂"
"702","1467年至1477年"
"703","圍繞足利將軍稱號的繼承權問題於京都發生的十年內亂"
"704","應仁之亂後"
"705","幕府失去權威"
"706","日本進入群雄割據的戰國時代"
"707","
    「金閣是幢三層樓閣的建築物"
"708","面臨開闊的苑池（鏡湖池）"
"709","大約是1398年（應永5年）建成的"
"710","第一二層是按中古貴族住宅的形式建造"
"711","使用了帶方格子的板窗"
"712","第三層為三間"
"713","純粹是群堂怫堂式的造型"
"714","中央鑲有唐式建築的板門"
"715","左右鑲有花卉形的窗"
"716","柏樹皮毒的方錐形屋頂頂端"
"717","飾有一隻鍍金的銅鳳凰"
"718","人字形屋頂的鈞殿（漱清）伸向他面"
"719","打破了整體的單調感"
"720","屋頂坡度比較平緩"
"721","屋簷下的椽子稀稀疏疏"
"722","木工精細"
"723","輕巧而優美"
"724","住宅式的建築"
"725","配以佛堂式的造型"
"726","不愧是和諧的庭園建築的傑作"
"727","表現了義滿吸收宮廷文化的情趣"
"728","也很好地傳達了當時的氛圍"
"729","
    「義滿逝世後"
"730","避其遺囑"
"731","將北山殿改為排剎"
"732","稱做鹿苑寺"
"733","其建築物有的他遷"
"734","有的荒蕪"
"735","惟有金閣倖存下來……」
    金閣猶如夜空中的明月"
"736","也是作為黑暗時代的象徵而建造的"
"737","因此我夢幻的金閣以湧現在其四周的暗黑為背景"
"738","在黑暗中"
"739","美麗而細長的柱子結構"
