,年份,颱風編號,颱風名稱,侵臺路徑分類,警報期間,近臺強度,近臺最低氣壓(hPa),近臺最大風速(m/s),近臺7級風暴風半徑(km),近臺10級風暴風半徑(km),警報發布報數
,2012,201214,天秤,特殊,2012/8/21 14:30,中度,945,45,180,50,33
,,,(TEMBIN),,2012/8/25 14:30,,,,,,
,2012,201214,天秤,特殊,2012/8/26 11:30,中度,945,35,180,50,21
,,,(TEMBIN),,2012/8/28 23:30,,,,,,
,2012,201213,啟德,---,2012/8/14 14:30,輕度,995,20,150,---,10
,,,(KAI-TAK),,2012/8/15 17:30,,,,,,
,2012,201211,海葵,---,2012/8/6 11:30,中度,960,35,180,50,11
,,,(HAIKUI),,2012/8/7 17:30,,,,,,
,2012,201209,蘇拉,2,2012/7/30 20:30,中度,960,38,220,80,31
,,,(SAOLA),,2012/8/3 14:30,,,,,,
,2012,201206,杜蘇芮,---,2012/6/28 05:30,輕度,995,23,120,---,10
,,,(DOKSURI),,2012/6/29 08:30,,,,,,
,2012,201205,泰利,9,2012/6/19 05:30,輕度,985,25,150,---,17
,,,(TALIM),,2012/6/21 05:30,,,,,,
,2011,201111,南瑪都,4,2011/8/27 05:30,強烈,920,53,180,50,34
,,,(NANMADOL ),,2011/8/31 08:30,,,,,,
,2011,201109,梅花,---,2011/8/4 17:30,中度,928,43,280,100,15
,,,(MUIFA),,2011/8/6 11:30,,,,,,
,2011,201105,米雷,---,2011/6/23 23:30,輕度,982,28,200,---,14
,,,(MEARI),,2011/6/25 14:30,,,,,,
,2011,201102,桑達,---,2011/5/27 02:30,強烈,920,55,200,100,13
,,,(SONGDA),,2011/5/28 14:30,,,,,,
,2011,201101,艾利,---,2011/5/9 05:30,輕度,990,23,150,---,13
,,,(AERE),,2011/5/10 17:30,,,,,,
,2010,201013,梅姬,9,2010/10/21 02:30,中度,935,48,250,100,24
,,,(MEGI),,2010/10/23 23:30,,,,,,
,2010,201011,凡那比,4,2010/9/17 23:30,中度,940,45,200,80,22
,,,(FANAPI ),,2010/9/20 14:30,,,,,,
,2010,201010,莫蘭蒂,---,2010/9/9 10:00,輕度,990,23,100,---,10
,,,(MERANTI),,2010/9/10 11:30,,,,,,
,2010,201008,南修,---,2010/8/30 22:30,輕度,995,18,80,---,9
,,,(NAMTHEUN),,2010/8/31 20:30,,,,,,
,2010,201006,萊羅克,9,2010/8/31 20:30,輕度,990,23,100,---,15
,,,(LIONROCK),,2010/9/2 14:30,,,,,,
,2009,200917,芭瑪,特殊,2009/10/3 05:30,中度,920,43,250,80,29
,,,(PARMA),,2009/10/6 17:30,,,,,,
,2009,200908,莫拉克,3,2009/8/5 20:30,中度,955,40,250,100,36
,,,(MORAKOT),,2009/8/10 05:30,,,,,,
,2009,200906,莫拉菲,---,2009/7/16 22:00,輕度,978,28,100,---,13
,,,(MOLAVE ),,2009/7/18 08:30,,,,,,
,2009,200903,蓮花,9,2009/6/19 20:30,輕度,980,28,150,---,21
,,,(LINFA ),,2009/6/22 08:30,,,,,,
,2008,200815,薔蜜,2,2008/9/26 23:30,強烈,925,53,280,100,25
,,,(JANGMI),,2008/9/29 23:30,,,,,,
,2008,200814,哈格比,---,2008/9/21 14:30,中度,940,45,280,100,15
,,,(HAGUPIT),,2008/9/23 08:30,,,,,,
,2008,200813,辛樂克,2,2008/9/11 08:30,強烈,925,51,250,100,43
,,,(SINLAKU ),,2008/9/16 14:30,,,,,,
,2008,200812,如麗,---,2008/8/19 11:30,中度,955,40,220,80,16
,,,(NURI ),,2008/8/21 08:30,,,,,,
,2008,200808,鳳凰,3,2008/7/26 11:30,中度,948,43,220,80,25
,,,(FUNG-WONG),,2008/7/29 11:30,,,,,,
,2008,200807,卡玫基,2,2008/7/16 14:30,中度,970,33,120,50,20
,,,(KALMAEGI),,2008/7/18 23:30,,,,,,
,2008,200807,卡玫基,2,2008/7/16 14:30,中度,970,33,120,50,---
,,,(KALMAEGI),,2008/7/18 23:30,,,,,,
,2007,200723,米塔,---,2007/11/26 05:30,中度,955,35,200,80,11
,,,(MITAG),,2007/11/27 11:30,,,,,,
,2007,200715,柯羅莎,2,2007/10/4 17:30,強烈,925,51,300,120,27
,,,(KROSA ),,2007/10/7 23:30,,,,,,
,2007,200712,韋帕,1,2007/9/17 05:30,中度,935,48,200,80,18
,,,(WIPHA ),,2007/9/19 08:30,,,,,,
,2007,200708,聖帕,3,2007/8/16 08:30,強烈,920,53,250,100,27
,,,(SEPAT ),,2007/8/19 14:30,,,,,,
,2007,200707,梧提,3,2007/8/8 11:30,輕度,992,18,100,---,9
,,,(WUTIP ),,2007/8/9 11:30,,,,,,
,2007,200706,帕布,4,2007/8/6 23:30,輕度,980,28,150,---,14
,,,(PABUK ),,2007/8/8 14:30,,,,,,
,2006,200613,珊珊,---,2006/9/14 14:30,中度,945,48,200,80,17
,,,(SHANSHAN),,2006/9/16 14:30,,,,,,
,2006,200609,寶發,4,2006/8/7 20:30,輕度,985,23,120,---,15
,,,(BOPHA),,2006/8/9 14:30,,,,,,
,2006,200608,桑美,---,2006/8/9 02:30,中度,935,48,180,80,16
,,,(SAOMAI ),,2006/8/10 23:30,,,,,,
,2006,200605,凱米,3,2006/7/23 14:30,中度,960,38,200,80,21
,,,(KAEMI),,2006/7/26 02:30,,,,,,
,2006,200604,碧利斯,2,2006/7/12 02:30,輕度,978,25,300,---,25
,,,(BILIS),,2006/7/15 02:30,,,,,,
,2006,200603,艾維尼,---,2006/7/7 23:30,中度,925,43,300,80,11
,,,(EWINIAR),,2006/7/9 05:30,,,,,,
,2006,200601,珍珠,9,2006/5/16 17:30,中度,943,45,300,100,17
,,,(CHANCHU),,2006/5/18 17:30,,,,,,
,2005,200519,龍王,3,2005/9/30 20:30,強烈,925,51,200,80,21
,,,(LONGWANG),,2005/10/3 08:30,,,,,,
,2005,200518,丹瑞,---,2005/9/21 10:30,輕度,955,25,200,---,17
,,,(DAMREY),,2005/9/23 08:30,,,,,,
,2005,200515,卡努,---,2005/9/9 17:30,中度,950,43,200,80,16
,,,(KHANUN),,2005/9/11 14:30,,,,,,
,2005,200513,泰利,3,2005/8/30 08:30,強烈,920,53,250,100,22
,,,(TALIM),,2005/9/1 23:30,,,,,,
,2005,200510,珊瑚,---,2005/8/11 16:00,輕度,985,25,200,---,19
,,,(SANVU),,2005/8/13 20:30,,,,,,
,2005,200509,馬莎,1,2005/8/3 08:30,中度,955,40,250,80,25
,,,(MATSA),,2005/8/6 08:30,,,,,,
,2005,200505,海棠,3,2005/7/16 14:30,強烈,912,55,280,120,29
,,,(HAITANG),,2005/7/20 02:30,,,,,,
,2004,200427,南瑪都,9,2004/12/3 02:30,中度,940,38,250,80,13
,,,(NANMADOL),,2004/12/4 14:30,,,,,,
,2004,200424,納坦,6,2004/10/23 20:30,中度,945,43,250,100,19
,,,(NOCK-TEN),,2004/10/26 02:30,,,,,,
,2004,200421,米雷,---,2004/9/26 08:30,中度,940,40,200,80,11
,,,(MEARI),,2004/9/27 14:30,,,,,,
,2004,200420,海馬,6,2004/9/11 23:30,輕度,998,18,100,---,12
,,,(HAIMA),,2004/9/13 08:30,,,,,,
,2004,200417,艾利,1,2004/8/23 02:30,中度,960,38,200,50,28
,,,(AERE),,2004/8/26 11:30,,,,,,
,2004,200413,蘭寧,---,2004/8/10 23:30,中度,955,40,250,100,18
,,,(RANANIM),,2004/8/13 02:30,,,,,,
,2004,200409,康柏斯,---,2004/7/14 09:30,輕度,995,20,100,---,10
,,,(KOMPASU),,2004/7/15 11:30,,,,,,
,2004,200407,敏督利,6,2004/6/28 17:30,中度,942,45,250,100,39
,,,(MINDULLE),,2004/7/3 11:30,,,,,,
,2004,200404,康森,---,2004/6/7 17:30,中度,970,33,150,50,19
,,,(CONSON),,2004/6/9 23:30,,,,,,
,2003,200319,米勒,8,2003/11/2 05:30,輕度,975,25,150,---,15
,,,(MELOR),,2003/11/3 23:30,,,,,,
,2003,200313,杜鵑,5,2003/8/31 12:30,中度,950,43,250,100,19
,,,(DUJUAN),,2003/9/2 17:30,,,,,,
,2003,200312,科羅旺,---,2003/8/22 08:30,中度,970,33,250,100,11
,,,(KROVANH),,2003/8/23 14:30,,,,,,
,2003,200311,梵高,---,2003/8/19 12:30,輕度,998,18,100,---,9
,,,(VAMCO),,2003/8/20 11:30,,,,,,
,2003,200309,莫拉克,4,2003/8/2 17:30,輕度,990,23,100,---,19
,,,(MORAKOT),,2003/8/4 23:30,,,,,,
,2003,200307,尹布都,---,2003/7/21 20:30,中度,935,48,300,120,15
,,,(IMBUDO),,2003/7/23 14:30,,,,,,
,2003,200306,蘇迪勒,---,2003/6/16 15:30,中度,960,38,200,50,18
,,,(SOUDELOR),,2003/6/18 17:30,,,,,,
,2003,200305,南卡,---,2003/6/1 20:30,輕度,990,23,100,---,11
,,,(NANGKA),,2003/6/3 02:30,,,,,,
,2003,200302,柯吉拉,---,2003/4/21 05:30,中度,925,43,250,100,30
,,,(KUJIRA),,2003/4/24 20:30,,,,,,
,2002,200216,辛樂克,1,2002/9/4 05:15,中度,950,40,300,100,33
,,,(SINLAKU),,2002/9/8 05:50,,,,,,
,2002,200208,娜克莉,9,2002/7/9 05:50,輕度,987,18,80,---,15
,,,(NAKRI),,2002/7/10 23:05,,,,,,
,2002,200205,雷馬遜,---,2002/7/2 14:45,中度,950,45,300,100,18
,,,(RAMMASUN),,2002/7/4 17:25,,,,,,
,2001,200121,海燕,---,2001/10/15 08:15,中度,965,35,250,100,14
,,,(HAIYAN),,2001/10/16 23:15,,,,,,
,2001,200119,利奇馬,4,2001/9/23 20:30,中度,965,35,180,50,37
,,,(LEKIMA),,2001/9/28 09:10,,,,,,
,2001,200116,納莉,特殊,2001/9/8 23:50,中度,960,40,150,50,12
,,,(NARI),,2001/9/10 09:00,,,,,,
,2001,200116,納莉,特殊,2001/9/13 15:00,中度,960,40,150,50,52
,,,(NARI),,2001/9/19 23:05,,,,,,
,2001,200108,桃芝,3,2001/7/28 05:25,中度,962,38,250,100,28
,,,(TORAJI),,2001/7/31 14:35,,,,,,
,2001,200107,玉兔,---,2001/7/23 20:10,輕度,962,30,150,---,8
,,,(YUTU),,2001/7/24 17:20,,,,,,
,2001,200105,潭美,4,2001/7/10 09:40,輕度,995,20,80,---,13
,,,(TRAMI),,2001/7/11 21:00,,,,,,
,2001,200104,尤特,5,2001/7/3 14:45,中度,960,38,350,120,20
,,,(UTOR),,2001/7/5 23:10,,,,,,
,2001,200102,奇比,7,2001/6/22 03:00,中度,965,35,200,80,19
,,,(CHEBI),,2001/6/24 08:20,,,,,,
,2001,200101,西馬隆,8,2001/5/11 11:15,輕度,990,23,150,---,20
,,,(CIMARON),,2001/5/13 20:05,,,,,,
,2000,200021,貝碧佳,---,2000/11/6 10:15,輕度,970,28,200,---,9
,,,(BEBINCA),,2000/11/7 08:55,,,,,,
,2000,200020,象神,6,2000/10/30 20:15,中度,960,38,250,100,17
,,,(XANGSANE),,2000/11/1 20:05,,,,,,
,2000,200019,雅吉,---,2000/10/23 20:20,中度,970,33,180,50,21
,,,(YAGI),,2000/10/26 08:50,,,,,,
,2000,200015,寶發,特殊,2000/9/8 15:15,輕度,990,23,180,---,17
,,,(BOPHA),,2000/9/10 15:00,,,,,,
,2000,200012,巴比侖,6,2000/8/27 20:45,中度,965,33,250,---,23
,,,(PRAPIROON),,2000/8/30 14:20,,,,,,
,2000,200010,碧利斯,3,2000/8/21 08:25,強烈,930,53,300,120,21
,,,(BILIS),,2000/8/23 20:05,,,,,,
,2000,200004,啟德,6,2000/7/6 11:43,中度,965,35,150,50,30
,,,(KAI-TAK),,2000/7/10 03:00,,,,,,
,1999,199920,丹恩,7,1999/10/4 14:15,中度,968,38,250,80,43
,,,(DAN),,1999/10/9 20:10,,,,,,
,1999,199911,山姆,---,1999/8/19 20:15,輕度,970,30,200,---,18
,,,(SAM),,1999/8/21 23:26,,,,,,
,1999,199906,瑪姬,5,1999/6/4 14:30,中度,965,38,250,100,20
,,,(MAGGIE),,1999/6/6 22:24,,,,,,
,1998,199812,芭比絲,9,1998/10/25 20:40,中度,950,35,250,100,18
,,,(BABS),,1998/10/27 23:05,,,,,,
,1998,199810,瑞伯,6,1998/10/13 14:20,強烈,920,55,350,150,30
,,,(ZEB),,1998/10/17 06:45,,,,,,
,1998,199809,楊妮,6,1998/9/27 23:30,輕度,975,25,100,---,14
,,,(YANNI),,1998/9/29 14:45,,,,,,
,1998,199802,奧托,3,1998/8/3 09:45,輕度,985,30,150,---,17
,,,(OTTO),,1998/8/5 09:00,,,,,,
,1998,199801,妮蔻兒,9,1998/7/9 05:55,輕度,998,18,100,---,10
,,,(NICHOLE),,1998/7/10 09:45,,,,,,
,1997,199726,艾文,---,1997/10/19 20:25,強烈,905,55,250,100,16
,,,(IVAN),,1997/10/21 17:10,,,,,,
,1997,199719,卡絲,---,1997/8/29 23:40,輕度,995,20,100,---,8
,,,(CASS),,1997/8/30 20:20,,,,,,
,1997,199717,安珀,3,1997/8/27 08:35,中度,945,48,250,100,23
,,,(AMBER),,1997/8/30 02:35,,,,,,
,1997,199714,溫妮,1,1997/8/16 14:35,中度,905,43,300,100,21
,,,(WINNIE),,1997/8/19 03:00,,,,,,
,1996,199623,薩恩,---,1996/9/27 14:55,中度,955,43,200,80,11
,,,(ZANE),,1996/9/28 20:25,,,,,,
,1996,199620,魏萊特,---,1996/9/15 20:30,強烈,940,51,300,120,9
,,,(VIOLET),,1996/9/16 21:00,,,,,,
,1996,199618,莎莉,---,1996/9/7 09:00,中度,950,48,250,80,12
,,,(SALLY),,1996/9/8 17:45,,,,,,
,1996,199612,麗莎,---,1996/8/6 16:40,輕度,993,20,100,---,6
,,,(LISA),,1996/8/7 05:40,,,,,,
,1996,199608,賀伯,2,1996/7/29 11:30,強烈,920,53,350,150,29
,,,(HERB),,1996/8/1 23:20,,,,,,
,1996,199607,葛樂禮,7,1996/7/24 11:45,中度,965,35,250,80,26
,,,(GLORIA),,1996/7/27 15:30,,,,,,
,1996,199603,凱姆,8,1996/5/20 21:35,輕度,995,20,150,---,24
,,,(CAM),,1996/5/23 18:00,,,,,,
,1995,199515,賴恩,8,1995/9/20 17:05,中度,955,45,300,100,23
,,,(RYAN),,1995/9/23 12:15,,,,,,
,1995,199509,肯特,5,1995/8/27 17:10,中度,955,45,200,100,32
,,,(KENT),,1995/8/31 14:45,,,,,,
,1995,199508,珍妮絲,---,1995/8/23 17:55,輕度,990,23,120,---,10
,,,(JANIS),,1995/8/24 21:25,,,,,,
,1995,199506,海倫,---,1995/8/9 11:50,輕度,980,23,120,---,15
,,,(HELEN),,1995/8/11 06:15,,,,,,
,1995,199505,蓋瑞,7,1995/7/31 03:55,輕度,980,28,150,---,7
,,,(GARY),,1995/7/31 20:45,,,,,,
,1995,199502,荻安娜,9,1995/6/4 16:30,輕度,995,20,120,---,33
,,,(DEANNA),,1995/6/8 14:50,,,,,,
,1995,199502,荻安娜,9,1995/6/4 16:30,輕度,995,20,120,---,---
,,,(DEANNA),,1995/6/8 14:50,,,,,,
,1994,199427,席斯,6,1994/10/7 14:45,強烈,925,51,350,150,30
,,,(SETH),,1994/10/11 05:40,,,,,,
,1994,199416,葛拉絲,2,1994/8/31 02:35,中度,970,35,200,100,18
,,,(GLADYS),,1994/9/2 02:30,,,,,,
,1994,199415,弗雷特,1,1994/8/19 02:35,強烈,935,55,350,150,26
,,,(FRED),,1994/8/22 05:50,,,,,,
,1994,199413,道格,6,1994/8/6 09:10,強烈,930,58,350,150,24
,,,(DOUG),,1994/8/9 06:15,,,,,,
,1994,199412,凱特琳,3,1994/8/3 06:15,輕度,987,25,120,---,12
,,,(CAITLIN),,1994/8/4 14:30,,,,,,
,1994,199405,提姆,3,1994/7/9 10:20,強烈,945,53,250,120,10
,,,(TIM),,1994/7/11 15:40,,,,,,
,1993,199316,亞伯,5,1993/9/10 21:30,中度,950,43,150,50,15
,,,(ABE),,1993/9/14 09:10,,,,,,
,1993,199314,楊希,---,1993/8/31 21:30,強烈,935,51,250,120,8
,,,(YANCY),,1993/9/2 16:00,,,,,,
,1993,199311,塔莎,---,1993/8/17 16:10,輕度,975,25,200,---,8
,,,(TASHA),,1993/8/19 09:40,,,,,,
,1992,199219,泰德,6,1992/9/20 10:15,輕度,985,30,200,50,14
,,,(TED),,1992/9/23 14:55,,,,,,
,1992,199216,寶莉,3,1992/8/27 11:40,輕度,975,23,200,---,17
,,,(POLLY),,1992/8/31 09:40,,,,,,
,1992,199215,歐馬,3,1992/9/3 08:50,中度,945,40,200,100,11
,,,(OMAR),,1992/9/5 17:45,,,,,,
,1992,199213,馬克,---,1992/8/16 16:40,輕度,988,20,100,---,13
,,,(MARK),,1992/8/19 15:10,,,,,,
,1992,199202,芭比,---,1992/6/26 15:30,中度,948,48,200,100,10
,,,(BOBBIE),,1992/6/28 21:10,,,,,,
,1991,199124,席斯,---,1991/11/12 21:45,中度,920,33,250,100,8
,,,(SETH),,1991/11/14 15:00,,,,,,
,1991,199123,露絲,---,1991/10/26 09:50,強烈,910,58,350,150,17
,,,(RUTH),,1991/10/30 09:30,,,,,,
,1991,199123,露絲,---,1991/10/26 09:50,強烈,910,58,350,150,---
,,,(RUTH),,1991/10/30 09:30,,,,,,
,1991,199120,耐特,特殊,1991/9/22 10:45,強烈,945,51,200,80,11
,,,(NAT),,1991/9/24 18:30,,,,,,
,1991,199120,耐特,特殊,1991/9/30 10:45,輕度,945,30,150,50,9
,,,(NAT),,1991/10/2 06:30,,,,,,
,1991,199119,密瑞兒,---,1991/9/25 08:30,強烈,925,53,300,150,9
,,,(MIREILLE),,1991/9/27 06:30,,,,,,
,1991,199111,愛麗,2,1991/8/16 03:30,中度,965,33,150,50,12
,,,(ELLIE),,1991/8/18 20:10,,,,,,
,1991,199108,布籃登,---,1991/7/22 16:10,中度,978,33,250,100,6
,,,(BRENDAN),,1991/7/23 18:30,,,,,,
,1991,199107,艾美,5,1991/7/17 16:00,強烈,950,51,300,180,10
,,,(AMY),,1991/7/19 21:10,,,,,,
,1990,199018,艾德,---,1990/9/14 02:40,中度,960,33,200,50,6
,,,(ED),,1990/9/15 10:00,,,,,,
,1990,199017,黛特,3,1990/9/6 09:50,中度,960,38,350,100,11
,,,(DOT),,1990/9/8 21:10,,,,,,
,1990,199015,蓓琪,---,1990/8/26 04:40,輕度,970,30,250,80,6
,,,(BECKY),,1990/8/27 09:20,,,,,,
,1990,199014,亞伯,1,1990/8/29 09:20,中度,955,45,250,120,9
,,,(ABE),,1990/8/31 09:10,,,,,,
,1990,199012,楊希,2,1990/8/17 09:50,中度,960,40,200,100,14
,,,(YANCY),,1990/8/20 15:30,,,,,,
,1990,199007,蘿繽,---,1990/7/9 10:40,輕度,990,20,150,---,7
,,,(ROBYN),,1990/7/10 21:00,,,,,,
,1990,199006,波西,---,1990/6/26 16:00,強烈,950,51,250,120,16
,,,(PERCY),,1990/6/30 09:00,,,,,,
,1990,199005,歐菲莉,6,1990/6/21 16:00,中度,968,38,200,100,13
,,,(OFELIA),,1990/6/24 15:10,,,,,,
,1990,199003,瑪麗安,9,1990/5/18 09:30,中度,960,40,250,100,6
,,,(MARIAN),,1990/5/19 14:50,,,,,,
,1989,198923,安吉菈,---,1989/10/5 09:30,強烈,930,67,250,120,9
,,,(ANGELA),,1989/10/7 09:40,,,,,,
,1989,198921,薇拉,---,1989/9/14 15:40,輕度,985,25,200,---,6
,,,(VERA),,1989/9/15 20:30,,,,,,
,1989,198919,莎拉,3,1989/9/8 09:50,強烈,952,51,300,150,23
,,,(SARAH),,1989/9/13 20:30,,,,,,
,1989,198913,羅拉,---,1989/7/31 21:30,輕度,980,28,250,---,11
,,,(LOLA),,1989/8/3 09:10,,,,,,
,1989,198909,賀璞,---,1989/7/18 09:20,輕度,990,25,150,---,6
,,,(HOPE),,1989/7/19 15:00,,,,,,
,1989,198908,戈登,---,1989/7/15 09:35,強烈,920,65,300,150,11
,,,(GORDON),,1989/7/17 21:20,,,,,,
,1989,198903,白蘭黛,---,1989/5/18 15:00,中度,970,35,200,80,9
,,,(BRENDA),,1989/5/20 14:35,,,,,,
,1988,198822,魯碧,---,1988/10/25 16:00,中度,916,48,300,150,8
,,,(RUBY),,1988/10/27 09:15,,,,,,
,1988,198821,派特,---,1988/10/19 15:50,中度,968,38,200,50,8
,,,(PAT),,1988/10/21 09:00,,,,,,
,1988,198820,歐黛莎,---,1988/10/12 15:50,輕度,954,25,150,---,7
,,,(ODESSA),,1988/10/14 03:40,,,,,,
,1988,198819,尼爾森,---,1988/10/3 21:15,強烈,898,63,300,120,10
,,,(NELSON),,1988/10/6 03:40,,,,,,
,1988,198817,李尹,---,1988/9/23 09:50,輕度,984,28,150,50,5
,,,(LEE),,1988/9/24 09:45,,,,,,
,1988,198816,克蒂,---,1988/9/21 10:15,輕度,984,28,150,50,5
,,,(KIT),,1988/9/22 09:05,,,,,,
,1988,198805,華倫,---,1988/7/17 08:45,強烈,927,55,250,120,11
,,,(WARREN),,1988/7/19 21:00,,,,,,
,1988,198802,蘇珊,9,1988/5/31 21:15,中度,963,40,150,50,9
,,,(SUSAN),,1988/6/2 20:55,,,,,,
,1987,198720,琳恩,5,1987/10/22 16:05,強烈,898,53,400,150,20
,,,(LYNN),,1987/10/27 09:50,,,,,,
,1987,198714,傑魯得,5,1987/9/7 16:10,強烈,937,51,300,150,15
,,,(GERALD),,1987/9/11 03:55,,,,,,
,1987,198711,黛納,---,1987/8/27 15:15,強烈,910,62,400,200,12
,,,(DINAH),,1987/8/30 08:30,,,,,,
,1987,198710,凱瑞,---,1987/8/15 09:40,中度,968,38,200,80,16
,,,(CARY),,1987/8/19 03:20,,,,,,
,1987,198708,亞力士,6,1987/7/25 15:10,中度,976,35,250,100,10
,,,(ALEX),,1987/7/27 21:35,,,,,,
,1987,198706,費南,6,1987/7/19 15:15,中度,981,33,200,120,11
,,,(VERNON),,1987/7/22 04:25,,,,,,
,1987,198705,賽洛瑪,---,1987/7/11 10:00,強烈,911,60,350,150,16
,,,(THELMA),,1987/7/15 04:10,,,,,,
,1986,198617,艾倫,---,1986/10/14 14:50,中度,970,40,250,80,14
,,,(ELLEN),,1986/10/17 20:35,,,,,,
,1986,198613,艾貝,3,1986/9/16 09:50,強烈,943,51,400,200,18
,,,(ABBY),,1986/9/20 15:25,,,,,,
,1986,198612,韋恩,特殊,1986/8/20 20:50,中度,951,38,200,100,12
,,,(WAYNE),,1986/8/23 15:15,,,,,,
,1986,198612,韋恩,特殊,1986/8/24 08:10,輕度,951,28,120,---,4
,,,(WAYNE),,1986/8/25 04:35,,,,,,
,1986,198612,韋恩,特殊,1986/8/28 15:25,中度,951,40,150,50,26
,,,(WAYNE),,1986/9/3 20:35,,,,,,
,1986,198611,薇拉,---,1986/8/25 09:55,中度,923,45,400,200,10
,,,(VERA),,1986/8/27 15:58,,,,,,
,1986,198609,莎拉,---,1986/8/1 09:20,輕度,986,23,150,---,9
,,,(SARAH),,1986/8/3 09:50,,,,,,
,1986,198607,佩姬,5,1986/7/7 09:00,強烈,900,70,400,200,18
,,,(PEGGY),,1986/7/11 15:15,,,,,,
,1986,198605,南施,6,1986/6/22 15:25,中度,955,38,200,50,9
,,,(NANCY),,1986/6/24 15:00,,,,,,
